PLAYER,CHAMPION,POSITION
Raiyx,Shen,Top
Raiyx,Vi,Top
Raiyx,Darius,Top
Raiyx,Garen,Top
Raiyx,Rammus,Top
Raiyx,Malphite,Top
Raiyx,Jarvan IV,Top
Raiyx,Kayle,Top
Raiyx,Poppy,Top
Raiyx,Wukong,Top
Raiyx,Quinn,Top
Raiyx,Vi,Jungle
Raiyx,Jarvan IV,Jungle
Raiyx,Rammus,Jungle
Raiyx,Leona,Jungle
Raiyx,Poppy,Jungle
Raiyx,Shyvana,Jungle
Raiyx,Nautilus,Jungle
Raiyx,Amumu,Jungle
Raiyx,Garen,Jungle
Raiyx,Skarner,Jungle
Raiyx,Tryndamere,Jungle
Raiyx,Malphite,Jungle
Raiyx,Miss Fortune,Mid
Raiyx,Vi,Mid
Raiyx,Veigar,Mid
Raiyx,Jarvan IV,Mid
Raiyx,Swain,Mid
Raiyx,Varus,Mid
Raiyx,Ziggs,Mid
Raiyx,Malphite,Mid
Raiyx,Kassadin,Mid
Raiyx,Galio,Mid
Raiyx,Seraphine,Mid
Raiyx,Ahri,Mid
Raiyx,Xerath,Mid
Raiyx,Vi,Bot
Raiyx,Ashe,Bot
Raiyx,Varus,Bot
Raiyx,Miss Fortune,Bot
Raiyx,Malphite,Bot
Raiyx,Jhin,Bot
Raiyx,Rumble,Bot
Raiyx,Leona,Sup
Raiyx,Shen,Sup
Raiyx,Swain,Sup
Raiyx,Blitzcrank,Sup
Raiyx,Braum,Sup
Raiyx,Seraphine,Sup
Raiyx,Veigar,Sup